,,,,,,,,
,,,,,,,,
,,,,,,,,
,Dia 0,,,,,,,
,Bau,Raridade,1,2,3,4,5,6
,Comum,59%,45%,34%,15%,5%,1%,0
,Incomum,30%,30%,35%,20%,10%,4%,1%
,Raro,10%,24%,30%,24%,14%,6%,2%
,Epico,1%,18%,24%,28%,18%,8%,4%
,Lendario,0%,10%,18%,24%,25%,15%,8%
,Mitico,0%,5%,12%,14%,29%,25%,15%
,,,,,,,,
,,,,,,,,
,Dia 15,,,,,,,
,Bau,Raridade,1,2,3,4,5,6
,Comum,45%,45%,34%,15%,5%,1%,0
,Incomum,30%,30%,35%,20%,10%,4%,1%
,Raro,15%,24%,30%,24%,14%,6%,2%
,Epico,8%,18%,24%,28%,18%,8%,4%
,Lendario,2%,10%,18%,24%,25%,15%,8%
,Mitico,0%,5%,12%,14%,29%,25%,15%
,,,,,,,,
,,,,,,,,
,Dia 40,,,,,,,
,Bau,Raridade,1,2,3,4,5,6
,Comum,35%,45%,34%,15%,5%,1%,0
,Incomum,25%,30%,35%,20%,10%,4%,1%
,Raro,20%,24%,30%,24%,14%,6%,2%
,Epico,12%,18%,24%,28%,18%,8%,4%
,Lendario,6%,10%,18%,24%,25%,15%,8%
,Mitico,2%,5%,12%,14%,29%,25%,15%
,,,,,,,,
,,,,,,,,
,Dia 100,,,,,,,
,Bau,Raridade,1,2,3,4,5,6
,Comum,29%,45%,34%,15%,5%,1%,0
,Incomum,20%,30%,35%,20%,10%,4%,1%
,Raro,18%,24%,30%,24%,14%,6%,2%
,Epico,15%,18%,24%,28%,18%,8%,4%
,Lendario,12%,10%,18%,24%,25%,15%,8%
,Mitico,6%,5%,12%,14%,29%,25%,15%
