Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Grupo,Raridade,Estagio,FF,Code,Linhagem
Bulbasaur,51,17,20,27,27,22,23,12,24,15,10,15,3,1,1,600,159,297,401,planta,100,venenoso,80,,,0.5,6.9,sapo,3,1,,1,1
Ivysaur,68,22,26,40,40,32,39,15,36,16,10,16,3,1,1,780,238,442,570,planta,100,venenoso,80,,,0.95,14.0,sapo,6,2,,2,1
Venusaur,102,28,36,58,58,38,43,25,65,18,12,16,3,1,2,1050,362,626,804,planta,100,venenoso,80,,,1.7,100.0,sapo,9,3,,3,1
Mega Venusaur,120,30,40,69,69,38,45,27,74,18,12,16,3,1,2,1150,424,714,904,planta,100,venenoso,80,,,2.1,155.5,sapo,-,FF,,4,1
Gigantamax Venusaur,280,36,40,60,60,16,43,25,78,20,12,16,3,1,2,1250,556,842,1004,planta,100,venenoso,80,,,17,999,sapo,-,FF,,5,1
Charmander,42,25,19,28,18,27,19,16,20,18,10,14,3,1,1,600,160,280,390,fogo,100,,,,,0.6,8.5,lagarto,2,1,,6,2
Charmeleon,59,37,24,41,22,35,20,29,28,20,15,18,3,1,1,780,226,399,531,fogo,100,dragao,10,,,1.15,19.0,lagarto,6,2,,7,2
Charizard,83,53,34,60,32,58,25,38,40,23,15,20,3,1,2,1050,342,581,763,fogo,100,voador,100,dragao,10,1.8,87.5,dragão,9,3,,8,2
Mega Charizard ,83,54,34,76,34,62,27,46,42,23,20,25,3,1,2,1150,384,643,833,fogo,100,voador,100,,,1.95,106.5,dragão,-,FF,,9,2
Ultra Charizard,87,60,45,60,41,59,29,38,46,23,20,25,3,1,2,1160,358,627,843,fogo,100,voador,100,dragao,100,1.9,108.5,dragão,-,FF,,10,2
Gigantamax Charizard,300,61,37,60,35,12,25,38,62,23,16,20,3,1,2,1250,546,816,982,fogo,100,voador,100,,,21,999,dragão,-,FF,,11,2
Squirtle,46,21,28,21,27,22,21,14,23,13,10,16,3,1,1,600,156,288,404,agua,100,,,,,0.55,9.0,tartaruga,3,1,,12,3
Wartortle,66,32,39,28,36,30,27,24,29,16,12,18,3,1,1,780,216,398,556,agua,100,,,,,0.9,22.5,tartaruga,6,2,,13,3
Blastoise,91,39,60,41,61,31,38,33,48,17,13,20,3,1,2,1050,338,589,793,agua,100,,,,,1.65,85.5,tartaruga,9,3,,14,3
Mega Blastoise,91,41,65,52,65,33,40,46,52,19,15,20,3,1,2,1150,364,651,879,agua,100,,,,,1.75,103.0,tartaruga,-,FF,,15,3
Gigantamax Blastoise,290,44,63,42,61,8,42,35,60,17,14,20,2,1,2,1250,538,830,1024,agua,100,,,,,20,999,tartaruga,-,FF,,16,3
Caterpie,35,16,15,17,16,16,23,15,22,15,5,10,4,1,0,480,125,223,315,inseto,100,,,,,0.25,2.2,minhoca,1,1,,17,4
Metapod,45,17,31,18,30,16,26,16,36,15,5,10,4,1,1,610,194,327,425,inseto,100,,,,,0.55,8.4,casulo,4,2,,18,4
Butterfree,79,20,27,45,34,38,64,16,42,20,8,15,4,1,2,900,302,525,659,inseto,100,voador,100,,,1.2,32.0,borboleta,8,3,,19,4
Gigantamax Butterfree,230,24,30,50,38,30,73,16,48,20,8,16,4,1,2,1100,476,708,856,inseto,100,voador,100,,,15,700,borboleta,-,FF,,20,4
Weedle,28,19,12,13,10,17,15,28,19,18,6,12,4,1,0,480,132,232,310,inseto,100,venenoso,100,,,0.2,2.1,minhoca,1,1,,21,5
Kakuna,38,18,27,15,25,17,17,28,36,18,6,12,4,1,1,610,182,306,410,inseto,100,venenoso,100,,,0.55,8.1,casulo,4,2,,22,5
Beedrill,65,47,26,16,25,46,17,70,36,22,15,12,4,1,2,900,326,515,643,inseto,100,venenoso,100,voador,50,1.15,29.5,abelha,8,3,,23,5
Mega Beedrill,67,56,27,16,26,55,17,93,36,24,20,15,4,1,2,1020,408,601,741,inseto,100,venenoso,100,voador,50,1.35,40.5,abelha,-,FF,,24,5
Pidgey,42,22,15,16,15,35,17,21,23,13,6,10,5,1,1,560,160,278,370,voador,100,normal,100,,,0.35,1.7,pombo,2,1,,25,6
Pidgeotto,70,31,20,28,20,50,19,23,32,16,10,10,5,1,2,750,234,398,516,voador,100,normal,100,,,1.1,30.0,passaro,5,2,,26,6
Pidgeot,85,45,26,35,27,64,22,29,42,25,15,10,5,1,2,950,303,515,671,voador,100,normal,100,,,1.45,43.5,passaro,8,3,,27,6
Mega Pidgeot,85,47,29,56,29,77,23,32,48,28,15,12,5,1,2,1070,362,605,777,voador,100,normal,100,,,1.95,56.5,passaro,-,FF,,28,6
Rattata,40,20,15,14,12,30,20,18,20,18,10,10,2,1,1,530,140,256,350,normal,100,,,,,0.3,3.2,rato,1,1,,29,7
Ultra Rattata,64,22,15,14,12,30,20,18,22,20,15,15,2,1,1,600,168,292,388,normal,100,sombrio,100,,,0.35,3.3,rato,-,FF,,30,7
Raticate,90,38,18,15,16,34,22,43,42,22,20,12,2,1,1,790,260,448,568,normal,100,,,,,0.65,18.5,rato,5,2,,31,7
Ultra Raticate,140,39,18,15,16,34,22,43,44,22,25,15,2,1,1,870,314,510,634,normal,100,sombrio,100,,,1.2,33.5,rato,-,FF,,32,7
Spearow,42,27,14,14,14,32,18,21,25,13,10,12,5,1,1,580,168,288,372,voador,100,normal,100,,,0.3,"1,9",pombo,2,1,,33,8
Fearow,77,48,20,16,22,42,21,25,38,16,25,40,5,1,2,910,260,463,599,voador,100,normal,100,sombrio,10,1.05,38.0,passaro,7,2,,34,8
Ekans,39,28,16,16,21,25,25,15,20,21,15,10,4,1,0,590,156,280,383,venenoso,100,,,,,2.05,6.9,cobra,3,1,,35,9
Arbok,71,54,27,26,31,32,33,26,35,24,30,15,5,1,1,920,249,441,607,venenoso,100,,,,,3.55,65.0,cobra,7,2,,36,9
