Ataque,Custo Nivel 1,Custo Nivel 2,Custo Nivel 3,Tipo,Estilo,Descrição Nivel 1,Descrição Nivel 2,Descrição Nivel 3,Code
Investida,30,45,60,normal,alvo,Causa (120% de Atk) como dano normal. O usuário recebe (20% do dano causado).,Causa (145% de Atk) como dano normal. O usuário recebe (20% do dano causado).,Causa (175% de Atk) como dano normal. O usuário recebe (20% do dano causado).,1
Biscoito,30,45,65,normal,alvo,"Cura o alvo em (55% de Mag), aplica 1 stack no alvo e no usuário, e cada stack no alvo aumenta a cura em (+10% de Mag). Se for crítico, cada stack aumenta a cura em (+15% de Mag).","Cura o alvo em (70% de Mag), aplica 1 stack no alvo e no usuário, e cada stack no alvo aumenta a cura em (+12% de Mag). Se for crítico, cada stack aumenta a cura em (+18% de Mag).","Cura o alvo em (90% de Mag), aplica 2 stacks no alvo e no usuário, e cada stack no alvo aumenta a cura em (+15% de Mag). Se for crítico, cada stack aumenta a cura em (+22% de Mag).",2
Enraivecer,20,35,50,normal,ativa,"Se a Vida estiver abaixo de 40%, o usuário ganha Amplificado.","Se a Vida estiver abaixo de 50%, o usuário ganha Amplificado.","Se a Vida estiver abaixo de 60%, o usuário ganha Amplificado.",3
Provocar,25,,,normal,ativa,O usuário ganha Provocando.,,,4
Proteger,40,,,normal,alvo,O alvo fica Protegido.,,,5
Arranhar,35,50,65,normal,alvo,Causa (135% de Atk) como dano normal.,Causa (160% de Atk) como dano normal.,Causa (190% de Atk) como dano normal.,6
Recarga,20,30,45,normal,ativa,Recupera (200% da Ene gasta neste ataque).,,,7
Energia,30,45,65,normal,alvo,Causa (115% de SpA) como dano especial.,Causa (140% de SpA) como dano especial.,Causa (170% de SpA) como dano especial.,8
Hiper Raio,90,120,155,normal,alvo,"Causa (150% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (190% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (240% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.",9
Guilhotina,75,105,140,normal,alvo,"Causa (80% de Atk) como dano normal. Se for crítico, executa inimigos com menos de 25% da Vida.","Causa (105% de Atk) como dano normal. Se for crítico, executa inimigos com menos de 25% da Vida.","Causa (135% de Atk) como dano normal. Se for crítico, executa inimigos com menos de 30% da Vida.",10
Disparo,25,40,55,normal,alvo,Causa (100% de Atk) como dano normal.,Causa (125% de Atk) como dano normal.,Causa (155% de Atk) como dano normal.,11
Chifrada,45,65,90,normal,alvo,Causa (90% de Atk) + (40% de Per) como dano normal.,Causa (105% de Atk) + (55% de Per) como dano normal.,Causa (125% de Atk) + (75% de Per) como dano normal.,12
Resetar,60,80,110,normal,alvo,Remove todas as variações permanentes de atributos do alvo.,Remove todas as variações permanentes de atributos do alvo e remove 1 efeito positivo do alvo.,Remove todas as variações permanentes de atributos do alvo e remove 2 efeitos positivos do alvo.,13
Tankar,55,75,100,normal,ativa,"O usuário ganha Fortificado e recebe (20% de Mag) na sua menor defesa. Se for crítico, também ganha uma barreira equivalente a (20% de Mag).","O usuário ganha Fortificado e recebe (30% de Mag) na sua menor defesa. Se for crítico, também ganha uma barreira equivalente a (30% de Mag).","O usuário ganha Fortificado e recebe (45% de Mag) na sua menor defesa. Se for crítico, também ganha uma barreira equivalente a (45% de Mag).",14
Estocada,40,55,75,normal,alvo,"Causa (105% de Atk) como dano normal. Se for o primeiro ataque do turno, causa +25% de dano.","Causa (125% de Atk) como dano normal. Se for o primeiro ataque do turno, causa +30% de dano.","Causa (150% de Atk) como dano normal. Se for o primeiro ataque do turno, causa +40% de dano.",15
Bola Climática,60,85,115,normal,alvo,"Causa (105% de SpA) como dano especial. Se houver clima ativo, causa (130% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos em áreas adjacentes.","Causa (125% de SpA) como dano especial. Se houver clima ativo, causa (160% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos em áreas adjacentes.","Causa (150% de SpA) como dano especial. Se houver clima ativo, causa (195% de SpA) como dano especial. Também causa (60% do dano causado) a inimigos em áreas adjacentes.",16
