Nome,Pokemons,Tamanho,Dificuldade,Biomas,Entradas,Servos,Code
Dungeon da Trindade Celeste,Articuno/Moltres/Zapdos,5,5,neve/vulcanico/campo,3,Froslass/Magmortar/Electivire/Abomasnow/Talonflame/Manectric,1
Dungeon do Laboratório Proibido,Mewtwo,3,5,magico/pantano,2,Alakazam/Metagross/Reuniclus/Muk/Beheeyem,2
Dungeon dos Trovões Ancestrais,Raikou/Entei/Suicune,5,5,campo/vulcanico/oceano,3,Arcanine/Luxray/Vaporeon/Flareon/Jolteon,3
Dungeon das Asas Sagradas,Lugia/Ho-Oh,5,5,oceano/magico/campo,3,Kingdra/Milotic/Braviary/Ninetales/Togekiss,4
Dungeon dos Gêmeos do Horizonte,Latios/Latias,3,4,campo/oceano/magico,2,Altaria/Gardevoir/Gallade/Flygon,5
Dungeon dos Titãs Primordiais,Kyogre/Rayquaza/Groudon,5,5,oceano/vulcanico/campo,3,Wailord/Salamence/Rhyperior/Tyrantrum/Gyarados,6
Dungeon do DNA Cósmico,Deoxys,3,5,magico/pantano,2,Starmie/Claydol/Elgyem/Gothitelle,7
Dungeon da Ruptura do Espaço-Tempo,Palkia/Dialga/Giratina,5,5,magico/pantano,3,Haxorus/Bronzong/Spiritomb/Chandelure/Garchomp,8
Dungeon do Colosso Adormecido,Regigigas,5,5,campo/deserto/neve,5,Regirock/Regice/Registeel/Regieleki/Regidrago,9
Dungeon da Fornalha Subterrânea,Heatran,3,4,vulcanico,2,Torkoal/Camerupt/Coalossal/Magcargo,10
Dungeon do Julgamento Alpha,Arceus,5,6,magico/campo/pantano,3,Palkia/Dialga/Giratina,11
Dungeon dos Cavaleiros da Justiça,Cobalion/Terrakion/Virizion,4,4,campo/floresta/deserto,3,Lucario/Bisharp/Rapidash/Sawsbuck,12
Dungeon dos Dragões do Ideal e da Verdade,Reshiram/Zekrom,4,5,vulcanico/campo/magico,2,Hydreigon/Druddigon/Volcarona/Eelektross,13
Dungeon do Vazio Congelado,Kyurem,4,5,neve/pantano,2,Beartic/Cryogonal/Vanilluxe/Drapion,14
Dungeon do Eclipse Vital,Xerneas/Yveltal,4,5,floresta/pantano/magico,3,Florges/Honchkrow/Malamar/Trevenant,15
Dungeon da Ordem Perfeita,Zygarde,5,5,campo/floresta/deserto,3,Sandaconda/Torterra/Krookodile/Noivern,16
Dungeon da Caldeira Impossível,Volcanion,2,4,vulcanico/oceano,2,Gastrodon/Darmanitan/Omastar,17
Dungeon dos Astros Gêmeos,Solgaleo/Lunala,5,5,magico/pantano/campo,3,Espeon/Umbreon/Clefable/Solrock/Lunatone,18
Dungeon do Prisma Negro,Necrozma,5,6,magico/pantano,5,Nihilego/Buzzwole/Pheromosa/Xurkitree/Celesteela/Kartana/Guzzlord/Naganadel/Stakataka/Blacephalon,19
Dungeon das Coroas de Aço,Zacian/Zamazenta,4,5,campo/floresta/magico,3,Aegislash/Corviknight/Perrserker/Hatterene,20
Dungeon da Serpente Eterna,Eternatus,5,6,pantano/vulcanico/magico,5,Gigantamax Charizard/Gigantamax Gengar/Gigantamax Garbodor/Gigantamax Grimmsnarl/Gigantamax Duraludon/Gigantamax Toxtricity,21
Dungeon do Punho Supremo,Urshifu,2,3,campo/floresta,1,Mienshao/Pangoro/Hawlucha,22
Dungeon do Trono Invernal Sombroso,Calyrex/Glastrier/Spectrier,3,4,neve/floresta/magico,2,Frosmoth/Runerigus/Mudsdale/Polteageist,23
Dungeon dos Dragões do Futuro e do Passado,Miraidon/Koraidon,5,5,campo/deserto/magico,3,Cyclizar/Baxcalibur/Great Tusk/Iron Valiant,24
Dungeon da Máscara Terastal,Terapagos,4,5,magico/campo,2,Glimmora/Garganacl/Orthworm,25
Dungeon da Origem Perdida,Mew,2,4,floresta/magico,1,Ditto/Porygon/Mr. Mime,26
Dungeon da Floresta Atemporal,Celebi,2,3,floresta/magico,1,Lilligant/Whimsicott/Shiinotic,27
Dungeon dos Cinco Selos,Regirock/Regice/Registeel/Regieleki/Regidrago,5,5,deserto/neve/campo/magico,5,Nosepass/Glalie/Klinklang/Vikavolt/Dracozolt,28
Dungeon da Estrela dos Desejos,Jirachi,1,2,magico/campo,1,Clefairy/Minior,29
Dungeon dos Guardiões da Mente,Uxie/Mesprit/Azelf,4,4,oceano/magico/campo,3,Slowking/Hypno/Medicham/Sigilyph,30
Dungeon do Limiar dos Sonhos,Darkrai/Cresselia,4,5,pantano/magico,2,Musharna/Banette/Mismagius/Dusknoir,31
Dungeon do Berço das Marés,Phione/Manaphy,2,2,oceano,1,Mantine/Lanturn/Alomomola,32
Dungeon do Jardim Celestial,Shaymin,1,2,floresta/campo/magico,1,Roserade/Comfey/Eldegoss,33
Dungeon da Chama da Vitória,Victini,2,3,campo/vulcanico/magico,2,Cinderace/Heatmor/Passimian,34
Dungeon dos Senhores da Tempestade,Tornadus/Thundurus/Landorus,4,4,campo/deserto/oceano,3,Mandibuzz/Zebstrika/Hippowdon,35
Dungeon da Lâmina Prometida,Keldeo,2,3,campo/oceano,1,Floatzel/Sirfetch'd/Escavalier,36
Dungeon da Canção Esquecida,Meloetta,1,1,campo/magico,1,Kricketune/Exploud/Primarina,37
Dungeon da Máquina Ancestral,Genesect,3,4,floresta/pantano,2,Scizor/Ariados/Forretress/Scolipede,38
Dungeon do Diamante Sagrado,Diancie,2,3,magico/deserto,2,Carbink/Sableye/Mawile,39
Dungeon dos Anéis do Caos,Hoopa,4,5,magico/deserto/pantano,3,Cofagrigus/Meowstic/Grumpig/Cacturne,40
Dungeon do Código Artificial,Silvally,3,4,pantano/magico,2,Type: Null/Porygon-Z/Kecleon/Castform,41
Dungeon dos Guardiões das Ilhas,Tapu Koko/Tapu Fini/Tapu Bulu/Tapu Lele,5,5,oceano/floresta/vulcanico/campo,4,Alolan Raichu/Araquanid/Salazzle/Lycanroc,42
Dungeon da Fenda Ultra,Nihilego/Buzzwole/Pheromosa/Xurkitree/Celesteela/Kartana/Guzzlord/Naganadel/Stakataka/Blacephalon,6,5,magico/pantano/deserto/vulcanico,5,Cosmog/Cosmoem/Poipole,43
Dungeon da Relíquia Mecânica,Magearna,2,3,magico/campo/pantano,1,Klefki/Golurk/Bronzor,44
Dungeon da Sombra Absoluta,Marshadow,3,4,pantano/magico,2,Dusclops/Hitmontop/Ninjask,45
Dungeon do Raio Errante,Zeraora,2,3,campo/deserto,1,Boltund/Heliolisk/Zangoose,46
Dungeon da Forja Titânica,Melmetal,3,4,vulcanico/deserto,2,Aggron/Copperajah/Steelix,47
Dungeon da Selva Proibida,Zarude,3,3,floresta/pantano,2,Rillaboom/Scrafty/Victreebel,48
Dungeon dos Tesouros da Ruína,Wo-Chien/Chien-Pao/Ting-Lu/Chi-Yu,5,5,floresta/neve/deserto/vulcanico/pantano,4,Brambleghast/Weavile/Donphan/Turtonator/Skuntank,49
Dungeon da Corrupção Carmesim,Pecharunt,3,4,pantano/magico,2,Grafaiai/Toxicroak/Oranguru,50
