Nome,Descrição,Descrição Melhor,Fator,Raridade,Bau,Valor,Venda,Stacks,Estilo,Code
Poção,Um frasco básico que recupera um pouco da vida do Pokémon.,"Frasco simples de cura usado em momentos leves de perigo. Recupera 20 pontos de vida do Pokémon, sendo ideal para pequenas feridas durante exploração, treino ou batalhas fáceis.",20,1,s,5,s,50,poção,1
Super Poção,Uma versão aprimorada que restaura uma quantidade maior de vida.,Poção reforçada para situações em que o Pokémon já sofreu um dano considerável. Recupera 50 pontos de vida e ajuda a manter o combate sem gastar itens mais raros.,50,2,s,10,s,50,poção,2
Hiper Poção,Uma dose potente de cura para recuperar boa parte da vida do Pokémon.,"Dose potente de recuperação, feita para batalhas mais exigentes. Recupera 120 pontos de vida, permitindo que o Pokémon volte a lutar mesmo depois de receber golpes pesados.",120,4,s,20,s,50,poção,3
Mega Poção,Um frasco avançado que restaura uma grande quantidade de vida.,"Poção avançada de grande poder curativo. Recupera 250 pontos de vida e é indicada para momentos críticos, quando uma cura comum já não seria suficiente para segurar o Pokémon em batalha.",250,5,s,30,s,50,poção,4
Max Poção,Restaura completamente a vida do Pokémon em uma única aplicação.,"Poção de cura máxima, usada quando o Pokémon precisa voltar completamente ao estado ideal. Recupera toda a vida, mesmo em criaturas muito resistentes ou com vida extremamente alta.",1000,6,s,50,s,10,poção,5
Poção Suprema,"Uma maravilha da ciencia, usada para fazer com que Pokemons nunca percam realmente vida nas batalhas","Tratamento científico raro aplicado uma única vez no Pokémon. Depois de receber essa melhoria, ele passa a não precisar mais ser curado após batalhas, como se sua recuperação pós-combate fosse permanente.",-,6,n,90,ss,1,poção,6
Revival,Traz um Pokémon derrotado de volta à batalha com parte da vida restaurada,"Item de emergência usado para trazer um Pokémon derrotado de volta à batalha. Ele retorna com 25% da vida, suficiente para continuar lutando, fugir do perigo ou receber uma cura melhor.",25,3,s,15,s,50,poção,7
Max Revival,Revive um Pokémon derrotado com toda a sua vida restaurada.,"Versão superior do revival comum, feita para recuperar totalmente um Pokémon derrotado. Ele volta à batalha com 100% da vida, pronto para lutar sem precisar de uma poção extra.",100,6,s,60,s,10,poção,8
Elixir,Pequeno frasco que concede experiência extra ao seu Pokémon.,Pequeno frasco de treino que concede 100 pontos de experiência ao Pokémon. É útil para acelerar o crescimento inicial ou dar um leve impulso em criaturas recém-capturadas.,100,1,s,6,s,50,poção,9
Super Elixir,Uma dose reforçada de experiência para acelerar o treino.,"Dose reforçada de experiência que concede 400 pontos ao Pokémon. Ajuda bastante no treinamento de criaturas de nível baixo ou médio, reduzindo o tempo necessário para evoluir.",400,2,s,15,s,50,poção,10
Hiper Elixir,Um concentrado de experiência que impulsiona rapidamente o nível.,Concentrado poderoso que concede 1600 pontos de experiência ao Pokémon. É indicado para fortalecer rapidamente um companheiro importante ou aproximá-lo do próximo nível.,1600,4,s,35,s,50,poção,11
Mega Elixir,A carga máxima de experiência em uma única dose.,Elixir extremamente forte que concede 5000 pontos de experiência em uma única dose. É um recurso valioso para acelerar muito o crescimento de um Pokémon escolhido.,5000,6,s,70,s,50,poção,12
Pokeball,A esfera clássica para capturar Pokémon comuns.,"Esfera clássica de captura, simples e confiável contra Pokémon comuns. Possui 10 de poder de captura, funcionando melhor em criaturas fracas, tranquilas ou com pouca resistência.",10,1,s,4,s,50,bola,13
Greatball,Esfera aprimorada com maior taxa de captura.,"Esfera aprimorada, criada para oferecer uma chance maior que a Pokeball comum. Possui 25 de poder de captura, sendo boa para Pokémon medianos ou um pouco mais difíceis.",25,2,s,10,s,50,bola,14
Ultraball,Esfera de alta performance para capturas difíceis.,"Esfera de alta performance, usada em capturas mais complicadas. Possui 60 de poder de captura, tornando-se uma escolha forte contra Pokémon raros, resistentes ou difíceis de prender.",60,5,s,20,s,50,bola,15
Masterball,A lendária esfera que garante captura 100%.,"Esfera lendária de captura perfeita. Possui 1000 de poder de captura, garantindo a captura de praticamente qualquer Pokémon sem depender de sorte ou enfraquecimento.",1000,6,n,100,ss,10,bola,16
