Nome,Estadio,Cargo,Nivel,Skin,Batalhas,Pokemon1,Pokemon2,Pokemon3,Pokemon4,Pokemon5,Pokemon6,Pokemon7,Pokemon8,Pokemon9,Pokemon10,Pokemon11,Pokemon12,Pokemon13,Pokemon14,Pokemon15,Pokemon16,Pokemon17,Pokemon18,Presentes,Code
Alleka,Metal,Lider,90,49,2,Excadrill,Durant,Lucario,Magnezone,Scizor,Aggron,Metagross,Archaludon,Kingambit,Kartana,Melmetal,Zacian Crowned,,,,,,,2,1
Ph,Eletrico,Lider,90,75,2,Raichu,RotomHeat,Jolteon,Vikavolt,Toxtricity,Ampharos,Eelektross,Luxray,Electivire,Xurkitree,Zeraora,Zekrom,,,,,,,2,2
Garcia,Psiquico,Lider,90,38,2,Hypno,Gothitelle,Slowking,Starmie,Espeon,Exeggutor,Alakazam,Gardevoir,Hatterene,Delphox,Celebi,Latios,,,,,,,2,3
Paulo,Venenoso,Lider,90,62,2,Salazzle,Victreebel,Weezing,Drapion,Gengar,Overqwil,Tentacruel,Venusaur,Roserade,Crobat,Naganadel,Nihilego,,,,,,,2,4
Ramos,Sonoro,Lider,90,77,2,Chatot,Wigglytuff,Kricketune,Altaria,Oricorio,Audino,Porygon2,Rillaboom,Bronzong,Exploud,Noivern,Meloetta,,,,,,,2,5
Guedes,Lutador,Lider,90,89,2,Hitmonlee,Mienshao,Hawlucha,Poliwrath,Gallade,Chesnaught,Infernape,Blaziken,Buzzwole,Kommo-o,Marshadow,Zamazenta,,,,,,,2,6
João,Gelo,Lider,90,94,2,Crabominable,Weavile,Cloyster,Vanilluxe,Beartic,Empoleon,Aurorus,Avalugg,Mamoswine,Walrein,Regice,Kyurem,,,,,,,2,7
Henrique,Fogo,Lider,90,56,2,Houndoom,Emboar,Pyroar,Incineroar,Cinderace,Charizard,Magmortar,Volcarona,Arcanine,Blacephalon,Victini,Reshiram,,,,,,,2,8
Felps,Dragão,Lider,90,80,2,Appletun,Noivern,Druddigon,Altaria,Flygon,Kingdra,Haxorus,Tyrantrum,Goodra,Dragonite,Garchomp,Rayquaza,,,,,,,2,9
Ferraz,Fantasma,Lider,90,79,2,Drifblim,Palossand,Golurk,Spiritomb,Mismagius,Dhelmise,Chandelure,Decidueye,Basculegion,Annihilape,Spectrier,Lunala,,,,,,,2,10
Vasques,Sombrio,Lider,90,28,2,Sharpedo,Cacturne,Absol,Malamar,Honchkrow,Obstagoon,Shiftry,Krookodile,Greninja,Guzzlord,Darkrai,Yveltal,,,,,,,2,11
Caio,Agua,Lider,90,59,2,Araquanid,Barraskewda,Seismitoad,Vaporeon,Feraligatr,Lapras,Swampert,Milotic,Blastoise,Gyarados,Manaphy,Kyogre,,,,,,,2,12
Murilo,Inseto,Lider,90,21,2,Ninjask,Leavanny,Armaldo,Centiskorch,Yanmega,Kleavor,Frosmoth,Scolipede,Heracross,Golisopod,Pheromosa,Genesect,,,,,,,2,13
Felipox,Cosmico,Lider,90,51,2,Cryogonal,Musharna,Minior,Ultra Rapidash,Orbeetle,Clefable,Solrock,Lunatone,Togekiss,Porygon-Z,Stakataka,Deoxys,,,,,,,2,14
Lisciele,Voador,Lider,90,57,2,Fearow,Pelipper,Cramorant,Talonflame,Pidgeot,Corviknight,Aerodactyl,Celesteela,Braviary,Salamence,ShayminSky,Lugia,,,,,,,2,15
Suriane,Normal,Lider,90,37,2,Zangoose,Tauros,Noctowl,Wyrdeer,Bewear,Oranguru,Drampa,Stoutland,Blissey,Snorlax,Slaking,Regigigas,,,,,,,2,16
Amable,Terrestre,Lider,90,44,2,Marowak,Sandaconda,Torterra,Donphan,Hippowdon,Nidoqueen,Nidoking,Mudsdale,Gliscor,Ursaluna,Landorus,Groudon,,,,,,,2,17
Nathzinha,Fada,Lider,90,54,2,Mawile,Granbull,Azumarill,Slurpuff,Mimikyu,Comfey,Hatterene,Grimmsnarl,Sylveon,Florges,Diancie,Xerneas,,,,,,,2,18
Suneiva,Planta,Lider,90,25,2,Lilligant,Flapple,Bellossom,Lurantis,Tangrowth,Trevenant,Vileplume,Leafeon,Sceptile,Serperior,Zarude,Virizion,,,,,,,2,19
Sidney,Pedra,Lider,90,24,2,Relicanth,Shuckle,Aerodactyl,Stonjourner,LycanrocMidday,Barbaracle,Golem,Rampardos,Coalossal,Gigalith,Rhyperior,Terrakion,,,,,,,2,20
