Nome,Nivel,Categoria,Skin,Presentes,Code
Josefa,3,Moedas,4,1,61
Hans,6,Moedas,6,0,62
Marina,9,Moedas,14,1,63
Kleber,12,Moedas,13,1,64
Danilo,15,Moedas,22,0,65
Bruno,19,Moedas,15,1,66
Vanessa,23,Moedas,7,0,67
Tatiana,27,Moedas,8,1,68
Lia,31,Moedas,18,1,69
Mortis,36,Moedas,33,0,70
Michel,41,Moedas,12,0,71
Helena,47,Moedas,66,1,72
Rubiano,54,Moedas,92,1,73
Selena,62,Moedas,73,0,74
Ravena,70,Moedas,45,0,75
Olavo,78,Moedas,27,0,76
Clarice,82,Moedas,31,1,77
Nicolas,85,Moedas,52,0,78
Mirela,88,Moedas,61,1,79
Edward Newgate,93,Moedas,80,1,80
Osvaldo,5,Item,9,1,81
Cecília,12,Item,16,0,82
Ramon,20,Item,24,0,83
Bianca,29,Item,29,0,84
Valter,38,Item,36,1,85
Samira,48,Item,41,1,86
Igor,59,Item,48,1,87
Priscila,70,Item,57,0,88
Dário,80,Item,69,1,89
Estela,82,Item,77,1,90
Baltazar,18,Pokemon,83,1,91
Nair Sombria,34,Pokemon,88,0,92
Vlad,52,Pokemon,91,1,93
Carmen Noctis,70,Pokemon,95,0,94
Morigan,90,Pokemon,99,1,95
