ataque\defesa,normal,fogo,agua,eletrico,planta,gelo,lutador,venenoso,terrestre,voador,psiquico,inseto,pedra,fantasma,dragao,sombrio,metal,fada,sonoro,cosmico
normal,1,1,1,1,1,1,1,1,1,1,1,1,"0,75",0,1,1,"0,75",1,1,1
fogo,1,"0,75","0,75",1,"1,5","1,5",1,1,1,1,1,"1,5","0,75",1,"0,75",1,"1,5",1,1,1
agua,1,"1,5","0,75",1,"0,75",1,1,1,"1,5",1,1,1,1,1,"0,75",1,1,1,1,1
eletrico,1,1,"1,5","0,75","0,75",1,1,1,0,"1,5",1,1,1,1,"0,75",1,1,1,"1,5","0,75"
planta,1,"0,75","1,5",1,"0,75",1,1,"0,75","1,5","0,75",1,"0,75","1,5",1,"0,75",1,"0,75",1,1,1
gelo,1,"0,75","0,75",1,"1,5",1,1,1,"1,5","1,5",1,1,1,1,"1,5",1,"0,75",1,1,1
lutador,"1,5",1,1,1,1,"1,5",1,"0,75",1,"0,75","0,75","0,75","1,5",0,1,"1,5","1,5","0,75",1,1
venenoso,1,1,1,1,"1,5",1,1,"0,75","0,75",1,1,1,"0,75","0,75",1,1,0,"1,5",1,1
terrestre,1,"1,5",1,"1,5","0,75",1,1,"1,5",1,0,1,"0,75","1,5",1,1,1,"1,5",1,1,1
voador,1,1,1,"0,75","1,5",1,"1,5",1,1,1,1,"1,5","0,75",1,1,1,"0,75",1,1,1
psiquico,1,1,1,1,1,1,"1,5","1,5",1,1,"0,75",1,1,1,1,0,"0,75",1,1,1
inseto,1,"0,75",1,1,"1,5",1,"0,75","0,75",1,"0,75","1,5",1,1,"0,75",1,"1,5","0,75","0,75",1,1
pedra,1,"1,5",1,1,1,"1,5","0,75",1,"0,75","1,5",1,"1,5",1,1,1,1,"0,75",1,1,1
fantasma,0,1,1,1,1,1,1,1,1,1,"1,5",1,1,"1,5",1,"0,75",1,1,"0,75",1
dragao,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1,5",1,"0,75",0,1,1
sombrio,1,1,1,1,1,1,"0,75",1,1,1,"1,5",1,1,"1,5",1,"0,75",1,"0,75",1,"1,5"
metal,1,"0,75","0,75","0,75",1,"1,5",1,1,1,1,1,1,"1,5",1,1,1,"0,75","1,5",1,1
fada,1,"0,75",1,1,1,1,"1,5","0,75",1,1,1,1,1,1,"1,5","1,5","0,75",1,1,1
sonoro,1,1,1,1,"0,75","1,5",1,1,1,1,1,"1,5","0,75",1,1,1,"0,75",1,1,1
cosmico,1,1,"1,5",1,1,1,1,1,1,1,"1,5",1,1,"0,75",1,1,1,1,"1,5",0
